GEO,DGUID,Total - Shelter-cost-to-income ratio,30% to less than 50%,50% or more,affordability_30plus,affordability_50plus,ALT_GEO_CODE,GEO_NAME,TNR_SF,TNR_LF,"Population, 2021","Population percentage change, 2016 to 2021",Population density per square kilometre,Median age of the population,Average household size,      Median total income of one-person households in 2020 ($),  Renter,    'Not suitable' and 'major repairs needed',simplified_city_nm,market,municipality,starts_2020,starts_2021,Housing Target Status
Alfred and Plantagenet,2021A00053502023,3970,480,195,17.0025188916877,4.91183879093199,3502023,"Alfred and Plantagenet, Township (TP)",2.1,3.2,9949,2.8,25.4,46.4,2.4,39200,22.7,0.5,alfred and plantagenet,,,0,0,
The Nation,2021A00053502025,4895,465,180,13.1767109295199,3.67722165474974,3502025,"The Nation / La Nation, Municipality (M)",1,1.4,13350,4.2,20.3,40.8,2.6,47600,17.6,0.5,the nation,,,0,0,
Clarence-Rockland,2021A00053502036,10030,1025,380,14.0079760717846,3.78863409770688,3502036,"Clarence-Rockland, City (C)",1.2,1.7,26505,8.1,89.1,43.2,2.6,49600,18.3,0.3,clarence rockland,,,0,0,
Casselman,2021A00053502044,1575,190,60,15.8730158730159,3.80952380952381,3502044,"Casselman, Village (VL)",1.1,2.7,3960,11.6,772.2,43.6,2.4,48800,27.2,0,casselman,,,0,0,
Russell,2021A00053502048,7155,605,240,11.8099231306778,3.35429769392034,3502048,"Russell, Township (TP)",1.1,1.3,19598,18.6,98.6,39.6,2.7,56800,16.1,0.1,russell,Ottawa-Gatineau CMA (Ontario Part),Russell TP,4,15,
Ottawa,2021A00053506008,406610,51780,29800,20.0634514645483,7.32889009124222,3506008,"Ottawa, City (CV)",2.4,3.1,1017449,8.9,364.9,40,2.5,55600,36.1,0.4,ottawa,Ottawa-Gatineau CMA (Ontario Part),Ottawa CV,353,412,On track
Edwardsburgh/Cardinal,2021A00053507004,3090,305,100,13.1067961165049,3.23624595469256,3507004,"Edwardsburgh/Cardinal, Township (TP)",1.4,2.4,7505,6.1,24.2,48.4,2.4,38000,19.3,0,edwardsburgh cardinal,,,0,0,
Augusta,2021A00053507006,2895,210,90,10.3626943005181,3.10880829015544,3507006,"Augusta, Township (TP)",0.9,2.1,7386,0.4,23.5,49.2,2.5,48000,8.1,0.3,augusta,,,0,0,
Prescott,2021A00053507008,1890,295,120,21.957671957672,6.34920634920635,3507008,"Prescott, Town (T)",2.1,7,4078,-3.4,826,49.6,2.1,36800,42.1,0,prescott,,,0,0,
Elizabethtown-Kitley,2021A00053507014,3660,275,145,11.4754098360656,3.96174863387978,3507014,"Elizabethtown-Kitley, Township (TP)",1.5,1.8,9545,-0.9,17.2,51.2,2.5,44800,9.5,0,elizabethtown kitley,,,0,0,
Brockville,2021A00053507015,10650,1645,710,22.112676056338,6.66666666666667,3507015,"Brockville, City (CY)",1.4,1.7,22116,2.5,1057.8,51.6,2,36400,42.9,0.8,brockville,,,0,0,
Front of Yonge,2021A00053507017,1030,90,65,15.0485436893204,6.31067961165049,3507017,"Front of Yonge, Township (TP)",1.9,4.3,2595,-0.3,20.7,51.6,2.4,36800,8.4,0,front of yonge,,,0,0,
Leeds and the Thousand Islands,2021A00053507021,3890,335,180,13.2390745501285,4.62724935732648,3507021,"Leeds and the Thousand Islands, Township (TP)",3.3,4.9,9804,3.6,16.1,52,2.4,42800,8.5,0.3,leeds and the thousand islands,,,0,0,
